"","Station ID","Sampling Date","Conductivity (Umhos/cm)"
"1","01-BUFF-1.7",2017-06-14,"433"
"2","01-BUFF-1.7",2017-08-14,"456"
"3","01-TONA-19.4",2017-06-14,"741"
"4","01-TONA-19.4",2017-08-14,"737"
"5","01-TONA-19.4",2017-10-17,"502"
"6","02-ALG-20.3",2017-06-15,"2028"
"7","02-ALG-20.3",2017-08-15,"261"
"8","02-ALG-20.3",2017-10-19,"162.5"
"9","02-CHAD-2.2",2017-06-15,"321.89999999999998"
"10","02-CHAD-2.2",2017-08-15,"318"
"11","02-CHAD-2.2",2017-10-19,"181.7"
"12","03-EMIL-5.1",2017-06-14,"611"
"13","03-EMIL-5.1",2017-08-14,"628"
"14","03-EMIL-5.1",2017-10-17,"536"
"15","03-NRUP-3.1",2017-06-13,"695"
"16","03-NRUP-3.1",2017-08-14,"574"
"17","03-NRUP-3.1",2017-10-16,"638"
"18","03-SALM-12.0",2017-06-13,"54"
"19","03-SALM-12.0",2017-08-15,"67"
"20","03-SALM-12.0",2017-10-17,"61"
"21","04-GENS-2.6",2017-06-14,"685"
"22","04-GENS-2.6",2017-08-14,"675"
"23","04-GENS-2.6",2017-10-16,"514.20000000000005"
"24","04-RAGA-1.4",2017-06-13,"559"
"25","04-RAGA-1.4",2017-08-15,"523"
"26","04-RAGA-1.4",2017-10-17,"561"
"27","04-UGNS-137.8",2017-06-15,"137.9"
"28","04-UGNS-137.8",2017-10-19,"146"
"29","05-CDEA-1.8",2017-06-14,"486"
"30","05-CDEA-1.8",2017-08-16,"570"
"31","05-CDEA-1.8",2017-10-17,"571"
"32","06-SUSQ-31.4",2017-06-14,"227"
"33","06-SUSQ-31.4",2017-08-16,"308"
"34","06-SUSQ-31.4",2017-10-18,"321"
"35","06-TOGH-32.8",2017-06-14,"362"
"36","06-TOGH-32.8",2017-08-16,"456"
"37","06-TOGH-32.8",2017-10-18,"430"
"38","07-KEUK-0.3",2017-06-14,"465"
"39","07-KEUK-0.3",2017-08-16,"396"
"40","07-KEUK-0.3",2017-10-17,"457"
"41","07-ONON-1.0",2017-06-13,"2150"
"42","07-ONON-1.0",2017-08-15,"3805"
"43","07-ONON-1.0",2017-10-17,"3650"
"44","07-OSWE-5.2",2017-06-13,"504"
"45","07-OSWE-5.2",2017-08-15,"664"
"46","07-OSWE-5.2",2017-10-17,"526"
"47","08-BLCK-8.0",2017-06-12,"71.3"
"48","08-BLCK-8.0",2017-08-17,"101.5"
"49","08-BLCK-8.0",2017-10-17,"73.5"
"50","08-BLCK-84.5",2017-06-13,"54"
"51","08-BLCK-84.5",2017-08-15,"64"
"52","08-BLCK-84.5",2017-10-17,"70"
"53","08-CHEM-5.4",2017-06-13,"403"
"54","08-CHEM-5.4",2017-08-16,"445"
"55","08-CHEM-5.4",2017-10-17,"463"
"56","09-GRAS-7.8",2017-06-12,"85.8"
"57","09-GRAS-7.8",2017-08-17,"150.9"
"58","09-GRAS-7.8",2017-10-17,"66.599999999999994"
"59","09-GTCH-17.7",2017-06-12,"61.9"
"60","09-GTCH-17.7",2017-08-17,"121.8"
"61","09-GTCH-17.7",2017-10-17,"58.8"
"62","09-LSAL-7.6",2017-06-13,"159.5"
"63","09-LSAL-7.6",2017-08-16,"154.9"
"64","09-LSAL-7.6",2017-10-18,"162.6"
"65","10-BOQT-2.6",2017-06-12,"125.8"
"66","10-BOQT-2.6",2017-08-17,"202.4"
"67","10-BOQT-2.6",2017-10-19,"185.2"
"68","10-SABL-14.6",2017-06-12,"79.8"
"69","10-SABL-14.6",2017-08-17,"130.80000000000001"
"70","10-SABL-14.6",2017-10-19,"107.8"
"71","10-SARA-0.4",2017-06-12,"88.1"
"72","10-SARA-0.4",2017-08-17,"100.4"
"73","10-SARA-0.4",2017-10-19,"101.5"
"74","11-UHUD-267.8",2017-06-20,"44.8"
"75","11-UHUD-267.8",2017-08-14,"109.9"
"76","11-UHUD-42.5",2017-06-20,"94.3"
"77","11-UHUD-42.5",2017-08-14,"117.8"
"78","12-MOHK-1.5",2017-08-17,"323.39999999999998"
"79","12-MOHK-1.5",2017-10-18,"321.5"
"80","12-MOHK-79.5",2017-06-13,"209"
"81","12-MOHK-79.5",2017-08-15,"265"
"82","12-MOHK-79.5",2017-10-17,"283"
"83","13-GUNK-0.4",2017-07-20,"266"
"84","13-GUNK-0.4",2017-08-02,"288"
"85","13-GUNK-0.4",2017-09-07,"288"
"86","13-GUNK-0.4",2017-09-20,"305"
"87","13-GUNK-0.4",2017-10-12,"315"
"88","13-MONH-0.4",2017-07-19,"893"
"89","13-MONH-0.4",2017-08-01,"1007"
"90","13-MONH-0.4",2017-09-06,"811"
"91","13-MONH-0.4",2017-09-19,"1162"
"92","13-MONH-0.4",2017-10-11,"764"
"93","13-QKER-0.9",2017-07-19,"479"
"94","13-QKER-0.9",2017-08-01,"673"
"95","13-QKER-0.9",2017-09-06,"601"
"96","13-QKER-0.9",2017-09-19,"680"
"97","13-QKER-0.9",2017-10-11,"657"
"98","13-ROND-9.9",2017-06-21,"134.69999999999999"
"99","13-ROND-9.9",2017-08-15,"133.80000000000001"
"100","13-WALK-18.6",2017-06-21,"279.2"
"101","13-WALK-18.6",2017-08-15,"365"
"102","13-WALK-19.0",2017-07-20,"446"
"103","13-WALK-19.0",2017-08-02,"541"
"104","13-WALK-19.0",2017-09-07,"487"
"105","13-WALK-19.0",2017-09-20,"608"
"106","13-WALK-19.0",2017-10-12,"670"
"107","13-WALK-2.1",2017-07-20,"398"
"108","13-WALK-2.1",2017-08-02,"480"
"109","13-WALK-2.1",2017-09-07,"494"
"110","13-WALK-2.1",2017-09-20,"511"
"111","13-WALK-2.1",2017-10-12,"528"
"112","13-WALK-22.8",2017-07-20,"463"
"113","13-WALK-22.8",2017-08-02,"580"
"114","13-WALK-22.8",2017-09-07,"549"
"115","13-WALK-22.8",2017-09-20,"653"
"116","13-WALK-22.8",2017-10-12,"668"
"117","13-WALK-26.9",2017-07-20,"474"
"118","13-WALK-26.9",2017-08-02,"578"
"119","13-WALK-26.9",2017-09-07,"515"
"120","13-WALK-26.9",2017-09-20,"680"
"121","13-WALK-26.9",2017-10-12,"626"
"122","13-WALK-29.9",2017-07-20,"483"
"123","13-WALK-29.9",2017-08-02,"595"
"124","13-WALK-29.9",2017-09-07,"579"
"125","13-WALK-29.9",2017-09-20,"687"
"126","13-WALK-35.6",2017-07-20,"491"
"127","13-WALK-35.6",2017-08-01,"605"
"128","13-WALK-35.6",2017-09-06,"652"
"129","13-WALK-35.6",2017-09-19,"691"
"130","13-WALK-35.6",2017-10-11,"683"
"131","13-WALK-46.6",2017-07-19,"451"
"132","13-WALK-46.6",2017-08-01,"567"
"133","13-WALK-46.6",2017-09-06,"650"
"134","13-WALK-46.6",2017-09-19,"652"
"135","13-WALK-46.6",2017-10-11,"672"
"136","13-WALK-60.1",2017-07-19,"486"
"137","13-WALK-60.1",2017-08-01,"582"
"138","13-WALK-60.1",2017-09-06,"537"
"139","13-WALK-60.1",2017-09-19,"628"
"140","13-WALK-60.1",2017-10-11,"608"
"141","13-WCHEE-0.6",2017-07-19,"1044"
"142","13-WCHEE-0.6",2017-08-01,"1184"
"143","13-WCHEE-0.6",2017-09-06,"851"
"144","13-WCHEE-0.6",2017-09-19,"1128"
"145","13-WCHEE-0.6",2017-10-11,"1018"
"146","13-WKLEI-0.6",2017-07-20,"220"
"147","13-WKLEI-0.6",2017-08-02,"227"
"148","13-WKLEI-0.6",2017-09-07,"240"
"149","13-WKLEI-0.6",2017-09-20,"195"
"150","13-WKLEI-0.6",2017-10-12,"270"
"151","14-DELA-1.3",2017-06-19,"93.1"
"152","14-DELA-1.3",2017-08-16,"88.7"
"153","14-NEVR-8.9",2017-06-19,"109"
"154","14-NEVR-8.9",2017-08-16,"67.7"
"155","17-BRNX-5.6",2017-08-16,"1062"
"156","17-BRNX-5.6",2017-10-18,"1201"
"157","17-CARM-9.0",2017-08-16,"226.5"
"158","17-CARM-9.0",2017-10-18,"227"
"159","06-DILA-5.4",2017-08-23,"271.39999999999998"
"160","06-DILA-5.4",2017-10-19,"350"
"161","11-HOOS-20.8",2017-08-21,"297"
"162","11-HOOS-20.8",2017-10-16,"341"
"163","13-LHUD-125.8",2017-08-22,"288.5"
"164","13LHUD-125.8",2017-10-17,"247"
"165","12-SCHO-14.6",2017-08-22,"281"
"166","12-SCHO-14.6",2017-10-18,"358.9"
"167","14-WDEL-16.2",2017-08-23,"84.5"
"168","14-WDEL-16.2",2017-10-19,"90.2"
"169","17-CARM-9.0",2018-04-18,"197"
"170","17-BRNX-5.6",2018-04-18,"994"
"171","17-CARM-9.0",2018-06-13,"215.5"
"172","17-BRNX-5.6",2018-06-13,"1350"
"173","17-CARM-9.0",2018-08-13,"678"
"174","17-BRNX-5.6",2018-10-15,"1021"
"175","17-CARM-9.0",2018-10-15,"219.6"
"176","14-NEVR-8.9",2018-10-15,"59.1"
"177","13-ROND-9.9",2018-06-12,"148.5"
"178","14-NEVR-8.9",2018-04-19,"105.6"
"179","14-DELA-1.3",2018-08-13,"68"
"180","14-DELA-1.3",2018-10-15,"53.3"
"181","14-DELA-1.3",2018-06-13,"94.1"
"182","14-DELA-1.3",2018-04-19,"51"
"183","13-WALK-18.6",2018-06-12,"505"
"184","14-NEVR-8.9",2018-06-13,"103.6"
"185","14-NEVR-8.9",2018-08-13,"83.9"
"186","14-WDEL-16.2",2018-10-16,"84.8"
"187","13-LHUD-125.8",2018-10-17,"249"
"188","11-HOOS-20.8",2018-10-18,"220"
"189","12-SCHO-14.6",2018-08-13,"136.3"
"190","14-WDEL-16.2",2018-08-14,"90.9"
"191","06-DILA-5.4",2018-08-14,"279.2"
"192","13-LHUD-125.8",2018-08-15,"251.9"
"193","11-HOOS-20.8",2018-08-16,"220.3"
"194","11-HOOS-20.8",2018-04-16,"177"
"195","13-LHUD-125.8",2018-04-17,"118"
"196","06-DILA-5.4",2018-04-18,"165.9"
"197","12-SCHO-14.6",2018-04-19,"140"
"198","12-SCHO-14.6",2018-10-15,"198.7"
"199","06-DILA-5.4",2018-10-16,"196.8"
"200","11-HOOS-20.8",2018-06-11,"285.1"
"201","13-LHUD-125.8",2018-06-12,"277.1"
"202","12-SCHO-14.6",2018-06-13,"319"
"203","06-DILA-5.4",2018-06-14,"251.1"
"204","14-WDEL-16.2",2018-06-14,"89.3"
"205","10-SABL-14.6",2018-08-14,"169.1"
"206","10-BOQT-2.6",2018-08-14,"233.6"
"207","10-SARA-0.4",2018-08-14,"139.1"
"208","09-LSAL-7.6",2018-08-15,"198.8"
"209","10-SABL-14.6",2018-10-16,"82.3"
"210","10-BOQT-2.6",2018-10-16,"146.5"
"211","10-SARA-0.4",2018-10-16,"113.4"
"212","09-LSAL-7.6",2018-10-17,"187.1"
"213","12-MOHK-1.5",2018-06-11,"343.8"
"214","11-UHUD-267.8",2018-06-12,"82.5"
"215","11-UHUD-42.5",2018-06-12,"132"
"216","10-SABL-14.6",2018-06-19,"112.2"
"217","10-BOQT-2.6",2018-06-19,"198"
"218","10-SARA-0.4",2018-06-19,"70"
"219","09-LSAL-7.6",2018-06-20,"122"
"220","10-SABL-14.6",2018-04-18,"68.2"
"221","10-BOQT-2.6",2018-04-18,"129.1"
"222","10-SARA-0.4",2018-04-18,"99.8"
"223","09-LSAL-7.6",2018-04-19,"130"
"224","12-MOHK-1.5",2018-04-18,"230.5"
"225","11-UHUD-42.5",2018-04-17,"111.3"
"226","11-UHUD-267.8",2018-04-23,"45"
"227","11-UHUD-267.8",2018-10-15,"92"
"228","11-UHUD-42.5",2018-10-15,"148.2"
"229","12-MOHK-1.5",2018-10-17,"415.7"
"230","11-UHUD-267.8",2018-08-14,"67.2"
"231","11-UHUD-42.5",2018-08-14,"129.8"
"232","12-MOHK-1.5",2018-08-15,"279.6"
"233","09-GTCH-17.7",2018-06-11,"107.9"
"234","09-GRAS-7.8",2018-06-11,"116.2"
"235","08-BLCK-8.0",2018-06-11,"93.3"
"236","09-GRAS-7.8",2018-08-15,"144.8"
"237","08-BLCK-8.0",2018-08-15,"52.3"
"238","09-GTCH-17.7",2018-08-15,"121.6"
"239","08-BLCK-84.5",2018-06-13,"68"
"240","12-MOHK-79.5",2018-06-13,"27.3"
"241","09-GRAS-7.8",2018-10-15,"120.4"
"242","08-BLCK-8.0",2018-10-15,"66"
"243","09-GTCH-17.7",2018-10-15,"68.1"
"244","08-BLCK-8.0",2018-04-17,"110"
"245","09-GTCH-17.7",2018-04-17,"93"
"246","09-GRAS-7.8",2018-04-17,"119"
"247","08-BLCK-84.5",2018-04-18,"47"
"248","08-BLCK-84.5",2018-08-14,"75"
"249","08-BLCK-84.5",2018-08-17,"45"
"250","12-MOHK-79.5",2018-04-18,"269.8"
"251","12-MOHK-79.5",2018-04-18,"300"
"252","06-TOGH-32.8",2018-08-13,"373"
"253","06-SUSQ-31.4",2018-08-13,"171"
"254","07-ONON-1.0",2018-08-14,"2664"
"255","07-OSWE-5.2",2018-08-14,"845"
"256","03-SALM-12.0",2018-08-14,"72"
"257","07-ONON-1.0",2018-10-15,"2302"
"258","07-OSWE-5.2",2018-10-15,"518"
"259","03-SALM-12.0",2018-10-15,"54"
"260","06-TOGH-32.8",2018-10-16,"225"
"261","06-SUSQ-31.4",2018-10-18,"7.86"
"262","07-ONON-1.0",2018-04-16,"139.3"
"263","07-OSWE-5.2",2018-04-16,"362"
"264","03-SALM-12.0",2018-04-16,"18"
"265","06-TOGH-32.8",2018-04-17,"145"
"266","06-SUSQ-31.4",2018-04-17,"113"
"267","03-SALM-12.0",2018-06-11,"51"
"268","07-OSWE-5.2",2018-06-11,"682"
"269","07-ONON-1.0",2018-06-11,"3492"
"270","06-TOGH-32.8",2018-06-12,"414"
"271","06-SUSQ-31.4",2018-06-12,"270"
"272","04-RAGA-1.4",2018-06-12,"536.8"
"273","04-GENS-2.6",2018-04-17,"304"
"274","04-RAGA-1.4",2018-04-17,"1689"
"275","03-NRUP-3.1",2018-04-18,"719.8"
"276","03-NRUP-3.1",2018-06-11,"671"
"277","04-GENS-2.6",2018-06-11,"557"
"278","05-CHEM-5.4",2018-04-19,"225"
"279","04-RAGA-1.4",2018-08-15,"391.1"
"280","03-NRUP-3.1",2018-10-16,"661.8"
"281","04-GENS-2.6",2018-10-16,"381.9"
"282","04-RAGA-1.4",2018-10-17,"494.6"
"283","05-CDEA-1.8",2018-04-19,"228"
"284","07-KEUK-0.3",2018-04-19,"348"
"285","07-KEUK-0.3",2018-08-14,"439"
"286","05-CHEM-5.4",2018-08-14,"127"
"287","05-CDEA-1.8",2018-08-15,"206.7"
"288","05-CHEM-5.4",2018-10-15,"272.6"
"289","05-CDEA-1.8",2018-10-17,"400.4"
"290","07-KEUK-0.3",2018-10-15,"368.8"
"291","02-ALGY-20.3",2018-04-16,"12.8"
"292","02-CHAD-2.2",2018-04-16,"231"
"293","01-TONA-19.4",2018-04-18,"393"
"294","01-BUFF-1.7",2018-04-18,"495"
"295","01-TONA-19.4",2018-10-15,"460.3"
"296","01-BUFF-1.7",2018-10-15,"302.5"
"297","03-EMIL-5.1",2018-10-15,"477.2"
"298","04-UGNS-137.8",2018-10-17,"92.7"
"299","02-ALGY-20.3",2018-10-17,"93.2"
"300","02-CHAD-2.2",2018-10-17,"229.3"
"301","02-CHAD-2.2",2018-06-13,"345"
"302","02-ALGY-20.3",2018-06-13,"198"
"303","04-UGNS-137.8",2018-06-13,"160"
"304","01-TONA-19.4",2018-06-12,"905"
"305","01-BUFF-1.7",2018-06-12,"482"
"306","03-EMIL-5.1",2018-06-12,"687"
"307","04-UGNS-137.8",2018-08-14,"127.3"
"308","02-CHAD-2.2",2018-08-14,"346.6"
"309","02-ALGY-20.3",2018-08-14,"196.4"
"310","01-BUFF-1.7",2018-08-15,"442"
"311","01-TONA-19.4",2018-08-15,"596"
"312","03-EMIL-5.1",2018-08-15,"584"
"313","17-CARM-9.0",2019-04-17,"877"
"314","17-BRNX-5.6",2019-04-16,"200.4"
"315","17-BRNX-5.6",2019-08-14,"1101"
"316","17-CARM-9.0",2019-08-14,"217.1"
"317","17-BRNX-5.6",2019-10-23,"613.6"
"318","17-CARM-9.0",2019-10-24,"221.6"
"319","14-NEVR-8.9",2019-04-17,"66.4"
"320","14-DELA-1.3",2019-04-17,"62.5"
"321","13-ROND-9.9",2019-04-16,"95.8"
"322","13-WALK-18.6",2019-04-16,"372.6"
"323","13-WALK-18.6",2019-06-10,"464.7"
"324","13-ROND-9.9",2019-06-10,"144.3"
"325","14-DELA-1.3",2019-08-12,"99.6"
"326","14-NEVR-8.9",2019-08-12,"121.1"
"327","14-DELA-1.3",2019-10-24,"85.8"
"328","14-NEVR-8.9",2019-10-24,"152.2"
"329","13-WALK-18.6",2019-10-22,"492.7"
"330","13-ROND-9.9",2019-10-22,"155.4"
"331","14-WDEL-16.2",2019-04-17,"90.3"
"332","13-LHUD-125.8",2019-04-16,"188.3"
"333","11-HOOS-20.8",2019-04-15,"120"
"334","12-SCHO-14.6",2019-04-18,"149.6"
"335","06-DILA-5.4",2019-04-17,"173.1"
"336","13-LHUD-125.8",2019-06-11,"196.9"
"337","11-HOOS-20.8",2019-06-12,"206.5"
"338","14-WDEL-16.2",2019-06-10,"89.6"
"339","06-DILA-5.4",2019-06-10,"254.3"
"340","12-SCHO-14.6",2019-06-13,"195.4"
"341","06-DILA-5.4",2019-08-14,"336.2"
"342","11-HOOS-20.8",2019-08-12,"336.4"
"343","13-LHUD-125.8",2019-08-13,"349.5"
"344","12-SCHO-14.6",2019-08-15,"359.7"
"345","14-WDEL-16.2",2019-08-14,"87.1"
"346","12-SCHO-14.6",2019-10-21,"295.7"
"347","13-LHUD-125.8",2019-10-22,"199.8"
"348","14-WDEL-16.2",2019-10-23,"95.9"
"349","06-DILA-5.4",2019-10-23,"228.7"
"350","11-HOOS-20.8",2019-10-24,"231.3"
"351","09-LSAL-7.6",2019-04-16,"99.6"
"352","11-UHUD-42.5",2019-10-23,"84.9"
"353","11-UHUD-267.8",2019-10-23,"63.2"
"354","11-UHUD-267.8",2019-08-14,"61.7"
"355","12-MOHK-1.5",2019-04-16,"226.1"
"356","11-UHUD-42.5",2019-08-14,"104.7"
"357","11-UHUD-42.5",2019-06-12,"75.5"
"358","10-SARA-0.4",2019-06-11,"91"
"359","11-UHUD-267.8",2019-06-12,"48.4"
"360","10-SABL-14.6",2019-04-17,"46.4"
"361","09-LSAL-7.6",2019-06-12,"177.1"
"362","12-MOHK-1.5",2019-06-11,"208.6"
"363","10-SABL-14.6",2019-06-11,"84.6"
"364","10-BOQT-2.6",2019-04-17,"83"
"365","10-SARA-0.4",2019-04-17,"68.6"
"366","10-BOQT-2.6",2019-10-24,"114.2"
"367","10-BOQT-2.6",2019-06-11,"151.7"
"368","09-LSAL-7.6",2019-08-14,"163.6"
"369","12-MOHK-1.5",2019-08-13,"370.8"
"370","10-SABL-14.6",2019-10-24,"47.2"
"371","10-SARA-0.4",2019-10-24,"116.4"
"372","09-LSAL-7.6",2019-10-21,"130.5"
"373","11-UHUD-42.5",2019-04-17,"62.5"
"374","10-SABL-14.6",2019-08-12,"128.9"
"375","10-SARA-0.4",2019-08-12,"126.5"
"376","12-MOHK-1.5",2019-10-22,"276.5"
"377","10-BOQT-2.6",2019-08-12,"222.9"
"378","11-UHUD-267.8",2019-04-17,"42.3"
"379","09-GRAS-7.8",2019-04-15,"64.9"
"380","09-GTCH-17.7",2019-04-15,"65.9"
"381","08-BLCK-8.0",2019-04-15,"60.9"
"382","08-BLCK-84.5",2019-04-17,"25.9"
"383","12-MOHK-79.5",2019-04-17,"179.1"
"384","09-GRAS-7.8",2019-06-10,"70.8"
"385","09-GTCH-17.7",2019-06-10,"70"
"386","08-BLCK-8.0",2019-06-10,"77.1"
"387","08-BLCK-84.5",2019-06-12,"55.4"
"388","12-MOHK-79.5",2019-06-12,"298.4"
"389","09-GRAS-7.8",2019-08-14,"116.1"
"390","09-GTCH-17.7",2019-08-14,"130.9"
"391","08-BLCK-8.0",2019-08-14,"110.8"
"392","08-BLCK-84.5",2019-08-12,"76.1"
"393","12-MOHK-79.5",2019-08-12,"366.8"
"394","09-GRAS-7.8",2019-10-21,"69.6"
"395","09-GTCH-17.7",2019-10-21,"71.3"
"396","08-BLCK-8.0",2019-10-21,"53.7"
"397","08-BLCK-84.5",2019-10-22,"37.6"
"398","12-MOHK-79.5",2019-10-22,"236.8"
"399","06-TOGH-32.8",2019-04-16,"234.4"
"400","06-SUSQ-31.4",2019-04-16,"143.2"
"401","07-ONON-1.0",2019-04-17,"1629"
"402","07-OSWE-5.2",2019-04-17,"600.5"
"403","03-SALM-12.0",2019-04-17,"30.8"
"404","06-TOGH-32.8",2019-06-12,"428.9"
"405","06-SUSQ-31.4",2019-06-12,"230.4"
"406","07-ONON-1.0",2019-06-10,"2896"
"407","07-OSWE-5.2",2019-06-10,"658"
"408","03-SALM-12.0",2019-06-10,"48.7"
"409","06-TOGH-32.8",2019-08-13,"489"
"410","06-SUSQ-31.4",2019-08-13,"364"
"411","07-ONON-1.0",2019-08-12,"3259"
"412","07-OSWE-5.2",2019-08-12,"1027"
"413","03-SALM-12.0",2019-08-12,"75.1"
"414","06-TOGH-32.8",2019-10-24,"257"
"415","06-SUSQ-31.4",2019-10-24,"178"
"416","07-ONON-1.0",2019-10-22,"2348"
"417","07-OSWE-5.2",2019-10-22,"435"
"418","03-SALM-12.0",2019-10-22,"60.9"
"419","05-CDEA-1.8",2019-04-15,"285.9"
"420","04-GENS-2.6",2019-04-16,"540.2"
"421","04-RAGA-1.4",2019-04-15,"308.4"
"422","03-NRUP-3.1",2019-04-16,"941"
"423","07-KEUK-0.3",2019-04-16,"532.2"
"424","05-CHEM-5.4",2019-04-16,"204.9"
"425","05-CDEA-1.8",2019-06-10,"366"
"426","04-GENS-2.6",2019-06-11,"486.4"
"427","04-RAGA-1.4",2019-06-10,"495"
"428","03-NRUP-3.1",2019-06-11,"706"
"429","07-KEUK-0.3",2019-06-11,"572.8"
"430","05-CHEM-5.4",2019-06-11,"353"
"431","05-CDEA-1.8",2019-08-13,"561"
"432","04-GENS-2.6",2019-08-14,"657"
"433","04-RAGA-1.4",2019-08-13,"569"
"434","03-NRUP-3.1",2019-08-19,"558"
"435","07-KEUK-0.3",2019-08-13,"521.2"
"436","05-CDEA-1.8",2019-10-21,"601.8"
"437","04-GENS-2.6",2019-10-21,"642.2"
"438","04-RAGA-1.4",2019-10-21,"585"
"439","03-NRUP-3.1",2019-10-21,"639"
"440","07-KEUK-0.3",2019-10-21,"496"
"441","05-CHEM-5.4",2019-10-30,"293.2"
"442","04-UGNS-137.8",2019-04-16,"98.5"
"443","02-ALGY-20.3",2019-04-16,"79"
"444","02-CHAD-2.2",2019-04-16,"277.3"
"445","03-EMIL-5.1",2019-04-17,"814"
"446","01-TONA-19.4",2019-04-17,"441"
"447","01-BUFF-1.7",2019-04-17,"604"
"448","04-UGNS-137.8",2019-06-12,"138"
"449","02-ALGY-20.3",2019-06-12,"147"
"450","02-CHAD-2.2",2019-06-12,"259.6"
"451","03-EMIL-5.1",2019-06-13,"878"
"452","01-TONA-19.4",2019-06-13,"682"
"453","01-BUFF-1.7",2019-06-13,"459"
"454","04-UGNS-137.8",2019-08-13,"134"
"455","02-ALGY-20.3",2019-08-13,"223.9"
"456","02-CHAD-2.2",2019-08-13,"289"
"457","03-EMIL-5.1",2019-08-15,"625"
"458","01-TONA-19.4",2019-08-15,"892"
"459","01-BUFF-1.7",2019-08-15,"480"
"460","04-UGNS-137.8",2019-10-23,"208.6"
"461","02-ALGY-20.3",2019-10-23,"228.8"
"462","02-CHAD-2.2",2019-10-23,"301.7"
"463","03-EMIL-5.1",2019-10-21,"1343"
"464","01-TONA-19.4",2019-10-21,"1256"
"465","01-BUFF-1.7",2019-10-21,"493"
